ont_indx	ont_rx(dBm)	ont_tx(dBm)	vendor_pn
1/1/0/0/0	-21.74	2.69	-
1/1/0/0/1	-21.94	2.68	-
1/1/0/0/2	-20.75	2.66	-
1/1/0/0/3	-21.02	2.47	-
1/1/0/0/4	-23.46	2.73	-
1/1/0/0/5	-21.94	2.74	-
1/1/0/0/6	-19.54	2.41	-
1/1/0/0/7	-23.01	2.33	HW-BOB-0025
1/1/0/0/8	-24.95	2.43	-
1/1/0/0/9	-20.04	2.48	-
1/1/0/0/10	-21.55	2.77	-
1/1/0/0/11	-22.92	2.46	-
1/1/0/0/12	-20.97	2.50	-
1/1/0/1/0	-21.19	2.27	HW-BOB-0025
1/1/0/1/1	-21.19	2.17	HW-BOB-0025
1/1/0/1/2	-21.87	2.33	HW-BOB-0025
1/1/0/1/3	-22.14	2.22	HW-BOB-0025
1/1/0/1/4	-20.08	2.21	HW-BOB-0025
1/1/0/1/5	-21.94	2.39	-
1/1/0/1/6	-21.19	2.40	-
1/1/0/1/7	-20.70	2.50	-
1/1/0/1/8	-19.95	2.65	-
1/1/0/1/9	-20.81	2.33	HW-BOB-0025
1/1/0/1/10	-24.68	2.46	-
1/1/0/1/11	-21.55	2.35	-
1/1/0/1/12	-20.60	2.41	-
1/1/0/1/13	-19.87	2.32	HW-BOB-0025
1/1/0/1/14	-22.29	2.22	HW-BOB-0025
1/1/0/1/15	-20.31	2.80	-
1/1/0/1/16	-18.69	2.38	HW-BOB-0025
1/1/0/1/17	-21.36	2.68	-
1/1/0/1/18	-20.86	2.42	-
1/1/0/1/19	-18.79	2.69	-
1/1/0/1/20	-20.45	2.67	-
1/1/0/1/21	-21.25	2.78	-
1/1/0/1/22	-22.44	2.76	-
1/1/0/1/23	-21.80	2.61	-
1/1/0/1/24	-20.70	2.51	-
1/1/0/1/25	-23.28	2.39	-
1/1/0/1/26	-21.30	2.59	-
1/1/0/1/27	-22.52	2.49	-
1/1/0/2/0	-18.73	2.01	HW-BOB-0025
1/1/0/2/1	-21.08	2.24	HW-BOB-0025
1/1/0/2/2	-18.82	1.97	HW-BOB-0025
1/1/0/2/3	-21.25	2.29	HW-BOB-0025
1/1/0/2/4	-22.29	2.69	-
1/1/0/2/5	-21.42	2.33	HW-BOB-0025
1/1/0/2/6	-20.00	2.08	HW-BOB-0025
1/1/0/2/7	-20.45	2.05	HW-BOB-0025
1/1/0/2/8	-21.25	2.20	HW-BOB-0025
1/1/0/2/9	-21.67	2.02	HW-BOB-0025
1/1/0/2/10	-19.03	2.03	HW-BOB-0025
1/1/0/2/11	-20.27	2.00	HW-BOB-0025
1/1/0/2/12	-20.31	2.58	-
1/1/0/2/13	-20.65	2.38	HW-BOB-0025
1/1/0/2/14	-20.45	2.56	-
1/1/0/2/15	-18.66	2.44	HW-BOB-0025
1/1/0/2/16	-21.55	2.17	HW-BOB-0025
1/1/0/2/17	-19.83	2.48	-
1/1/0/2/18	-20.22	2.33	HW-BOB-0025
1/1/0/2/19	-20.27	2.74	-
1/1/0/2/20	-20.91	2.69	-
1/1/0/2/21	-20.86	2.41	-
1/1/0/2/22	-21.74	2.05	HW-BOB-0025
1/1/0/2/23	-20.75	2.33	HW-BOB-0025
1/1/0/2/24	-19.62	2.70	-
1/1/0/2/25	-20.97	2.92	-
1/1/0/2/26	-20.31	2.38	-
1/1/0/2/27	-19.50	2.60	-
1/1/0/2/28	-19.31	2.72	-
1/1/0/2/29	-20.13	2.88	-
1/1/0/2/30	-21.19	2.47	-
1/1/0/2/31	-18.07	2.81	-
1/1/0/2/32	-21.08	2.67	-
1/1/0/2/33	-20.17	2.40	-
1/1/0/2/34	-19.74	2.39	-
1/1/0/2/35	-19.35	2.37	-
1/1/0/2/36	-19.95	2.46	-
1/1/0/3/0	-20.08	2.68	-
1/1/0/3/1	-19.13	2.27	HW-BOB-0025
1/1/0/3/2	-18.35	2.23	HW-BOB-0025
1/1/0/3/3	-18.01	2.67	-
1/1/0/3/4	-17.47	2.22	HW-BOB-0025
1/1/0/3/5	-20.81	2.31	HW-BOB-0025
1/1/0/3/6	-19.10	2.28	HW-BOB-0025
1/1/0/3/7	-18.63	2.28	HW-BOB-0025
1/1/0/3/8	-18.86	2.31	HW-BOB-0025
1/1/0/3/9	-19.20	2.68	-
1/1/0/3/10	-20.41	2.44	-
1/1/0/3/11	-19.50	2.25	HW-BOB-0025
1/1/0/3/12	-20.41	2.64	-
1/1/0/3/13	-18.15	2.44	-
1/1/0/3/14	-20.65	1.97	HW-BOB-0025
1/1/0/3/15	-19.06	2.38	HW-BOB-0025
1/1/0/3/16	-19.32	2.21	HW-BOB-0025
1/1/0/3/17	-19.17	2.44	-
1/1/0/3/18	-18.04	2.56	-
1/1/0/3/19	-18.73	2.21	HW-BOB-0025
1/1/0/3/20	-18.73	2.70	-
1/1/0/3/21	-18.21	2.47	-
1/1/0/3/22	-19.87	2.18	HW-BOB-0025
1/1/0/3/23	-17.54	2.67	-
1/1/0/3/24	-19.66	2.08	HW-BOB-0025
1/1/0/3/25	-19.66	2.92	-
1/1/0/3/26	-18.29	2.69	-
1/1/0/3/27	-19.70	2.61	-
1/1/0/3/28	-19.58	2.74	-
1/1/0/3/29	-20.91	2.44	-
1/1/0/3/30	-18.89	2.88	-
1/1/0/3/31	-17.79	2.37	-
1/1/0/4/0	-18.73	2.74	-
1/1/0/4/1	-17.93	2.60	-
1/1/0/4/2	-21.02	2.32	-
1/1/0/4/3	-20.08	2.49	-
1/1/0/4/4	-19.66	2.57	-
1/1/0/4/5	-19.43	2.22	HW-BOB-0025
1/1/0/4/6	-21.61	2.22	HW-BOB-0025
1/1/0/4/7	-21.36	1.87	HW-BOB-0025
1/1/0/4/8	-21.55	2.19	HW-BOB-0025
1/1/0/4/9	-20.86	2.24	HW-BOB-0025
1/1/0/4/10	-21.36	2.40	-
1/1/0/4/11	-18.38	2.21	HW-BOB-0025
1/1/0/4/12	-21.30	2.09	HW-BOB-0025
1/1/0/4/13	-19.95	2.21	HW-BOB-0025
1/1/0/4/14	-20.75	2.38	-
1/1/0/4/15	-23.56	2.31	HW-BOB-0025
1/1/0/4/16	-19.39	2.34	-
1/1/0/4/17	-20.36	2.63	-
1/1/0/4/18	-20.41	2.36	-
1/1/0/4/19	-19.17	2.76	-
1/1/0/4/20	-21.80	2.37	HW-BOB-0025
1/1/0/4/21	-19.95	2.64	-
1/1/0/4/22	-19.39	2.47	-
1/1/0/4/23	-20.60	2.42	-
