ont_indx	ont_rx(dBm)	ont_tx(dBm)	vendor_pn
1/1/1/0/0	-24.20	2.65	-
1/1/1/0/1	-22.00	2.22	-
1/1/1/0/2	-23.46	2.51	-
1/1/1/0/3	-22.75	2.82	-
1/1/1/0/4	-22.92	2.20	-
1/1/1/0/5	-22.44	3.09	-
1/1/1/0/6	-22.44	2.47	-
1/1/1/0/7	-23.01	2.59	-
1/1/1/0/8	-22.00	2.79	-
1/1/1/0/9	-21.94	2.92	-
1/1/1/0/10	-22.00	2.44	-
1/1/1/0/11	-23.10	2.81	-
1/1/1/0/12	-22.52	2.81	-
1/1/1/0/13	-22.84	2.20	HW-BOB-0025
1/1/1/0/14	-23.01	2.55	-
1/1/1/0/15	-23.76	2.61	-
1/1/1/0/16	-24.09	2.67	-
1/1/1/0/17	-23.10	2.39	-
1/1/1/1/0	-20.31	2.26	-
1/1/1/1/1	-21.94	2.52	-
1/1/1/1/2	-20.00	2.78	-
1/1/1/1/3	-21.19	2.20	-
1/1/1/1/4	-19.95	2.29	-
1/1/1/1/5	-21.25	3.05	-
1/1/1/1/6	-20.60	1.86	HW-BOB-0025
1/1/1/1/7	-24.09	3.00	-
1/1/1/1/8	-25.08	2.90	-
1/1/1/1/9	-23.66	2.54	-
1/1/1/1/10	-22.67	2.46	-
1/1/1/1/11	-20.81	1.96	HW-BOB-0012
1/1/1/1/12	-22.29	2.38	-
1/1/1/1/13	-32.21	2.58	-
1/1/1/1/14	-20.45	2.36	-
1/1/1/1/15	-22.75	2.37	-
1/1/1/2/0	-23.76	2.98	-
1/1/1/2/1	-22.29	2.68	-
1/1/1/3/0	-22.75	2.73	-
1/1/1/3/1	-25.53	3.05	-
1/1/1/3/2	-24.56	2.28	-
1/1/1/3/3	-22.14	2.48	-
1/1/1/3/4	-22.22	2.28	-
1/1/1/3/5	-22.59	2.22	-
1/1/1/3/6	-25.53	2.75	-
1/1/1/3/7	-23.28	2.78	-
1/1/1/3/8	-24.56	2.65	-
1/1/1/4/0	-22.22	2.32	-
1/1/1/4/1	-24.56	3.01	-
1/1/1/4/2	-22.29	2.45	-
1/1/1/4/3	-23.56	2.20	-
1/1/1/4/4	-22.29	2.11	HW-BOB-0025
1/1/1/4/5	-23.66	2.68	-
