ont_indx	ont_rx(dBm)	ont_tx(dBm)	vendor_pn
1/1/1/2/24	-29.58	2.29	-
1/1/1/2/25	-26.19	2.20	HW-BOB-0002
1/1/1/2/26	-24.09	2.20	HW-BOB-0002
1/1/1/2/27	-25.68	2.02	HW-BOB-0008
1/1/1/2/28	-23.98	1.96	LTB3468L-CCG+
1/1/1/2/29	-29.57	2.32	HW-BOB-0001
1/1/1/2/30	-25.37	1.92	HW-BOB-0012
1/1/1/2/31	-26.38	2.30	HW-BOB-0025
1/1/1/2/32	-23.98	2.12	HW-BOB-0012
1/1/1/3/0	-26.38	3.23	-
1/1/1/3/1	-26.77	2.17	HW-BOB-0002
1/1/1/3/2	-23.56	3.23	-
1/1/1/3/3	-23.10	2.04	HW-BOB-0012
1/1/1/3/4	-26.77	3.23	-
1/1/1/3/5	-23.10	2.30	HW-BOB-0012
1/1/1/3/6	-24.68	2.26	HW-BOB-0025
1/1/1/3/7	-24.43	1.83	HW-BOB-0012
1/1/1/3/8	-24.95	2.01	HW-BOB-0002
1/1/1/3/9	-21.74	2.21	HW-BOB-0025
1/1/1/3/10	-28.54	1.88	HW-BOB-0002
1/1/1/3/11	-22.55	2.24	HW-BOB-0001
1/1/1/3/12	-23.56	2.29	HW-BOB-0012
1/1/1/3/13	-25.35	2.37	HW-BOB-0001
1/1/1/3/14	-27.21	2.08	HW-BOB-0012
1/1/1/3/15	-23.87	2.20	HW-BOB-0012
1/1/1/3/16	-24.81	2.33	HW-BOB-0002
1/1/1/3/17	-24.31	2.01	HW-BOB-0002
1/1/1/3/18	-23.87	2.35	HW-BOB-0002
1/1/1/3/19	-22.84	2.25	HW-BOB-0012
1/1/1/3/20	-26.57	2.16	HW-BOB-0001
1/1/1/3/21	-24.31	2.34	HW-BOB-0012
1/1/1/3/22	-25.68	2.16	LTB3468L-CCG+
1/1/1/3/23	-27.69	2.04	HW-BOB-0002
1/1/1/3/24	-23.87	2.18	HW-BOB-0002
1/1/1/3/25	-23.98	2.21	HW-BOB-0012
1/1/1/3/26	-26.77	2.24	HW-BOB-0002
1/1/1/3/27	-23.01	2.10	LTB3468L-CCG+
1/1/1/3/28	-22.83	2.16	HW-BOB-0001
1/1/1/3/29	-23.37	2.29	HW-BOB-0025
1/1/1/3/30	-24.68	2.12	HW-BOB-0002
1/1/1/3/31	-25.37	2.46	-
1/1/1/3/32	-24.20	2.23	HW-BOB-0025
1/1/1/3/33	-23.66	2.69	-
1/1/1/3/34	-24.20	2.85	-
