ont_indx	ont_rx(dBm)	ont_tx(dBm)	vendor_pn
1/1/1/0/0	-24.20	2.24	HW-BOB-0012
1/1/1/0/1	-26.57	2.16	HW-BOB-0002
1/1/1/0/2	-28.24	3.14	-
1/1/1/0/3	-30.45	2.01	HW-BOB-0002
1/1/1/0/4	-25.08	2.21	HW-BOB-0012
1/1/1/0/5	-25.37	2.08	HW-BOB-0002
1/1/1/0/6	-26.38	2.08	HW-BOB-0012
1/1/1/0/7	-23.37	3.14	-
1/1/1/0/8	-23.76	2.07	SFU3424THPCDEHW4
1/1/1/0/9	-29.58	2.07	HW-BOB-0025
1/1/1/0/10	-24.20	2.44	HW-BOB-0025
1/1/1/0/11	-24.68	2.31	HW-BOB-0012
1/1/1/0/12	-27.44	3.14	-
1/1/1/0/13	-26.57	2.33	HW-BOB-0012
1/1/1/0/14	-24.81	2.17	HW-BOB-0012
1/1/1/0/15	-28.86	2.37	HW-BOB-0012
1/1/1/0/16	-25.23	2.54	-
1/1/1/0/17	-22.84	2.08	HW-BOB-0002
1/1/1/0/18	-24.20	2.38	-
1/1/1/0/19	-23.87	2.25	HW-BOB-0002
1/1/1/0/20	-26.99	1.88	HW-BOB-0002
1/1/1/0/21	-24.68	2.38	-
1/1/1/0/22	-25.23	1.95	HW-BOB-0002
1/1/1/0/23	-23.10	1.97	HW-BOB-0008
1/1/1/0/24	-25.23	2.10	HW-BOB-0025
1/1/1/0/25	-26.02	2.32	HW-BOB-0025
1/1/1/0/26	-23.98	2.43	HW-BOB-0002
1/1/1/0/27	-24.43	2.24	HW-BOB-0008
1/1/1/0/28	-24.43	2.61	-
1/1/1/0/29	-24.43	2.24	HW-BOB-0002
1/1/1/0/30	-27.96	2.26	HW-BOB-0012
1/1/1/0/31	-23.98	2.35	HW-BOB-0025
1/1/1/0/32	-24.20	2.19	HW-BOB-0012
1/1/1/0/33	-25.08	2.23	HW-BOB-0025
1/1/1/0/34	-23.28	1.95	HW-BOB-0012
1/1/1/0/35	-26.19	2.45	-
1/1/1/0/64	-23.66	2.29	HW-BOB-0012
1/1/1/1/0	-24.56	2.36	-
1/1/1/1/1	-28.24	2.36	-
1/1/1/1/2	-26.77	2.11	HW-BOB-0012
1/1/1/1/3	-26.02	2.29	HW-BOB-0012
1/1/1/1/4	-24.56	2.36	-
1/1/1/1/5	-24.31	2.36	-
1/1/1/1/6	-28.86	2.16	HW-BOB-0002
1/1/1/1/7	-25.53	1.87	HW-BOB-0002
1/1/1/1/8	-22.84	2.21	SFU3424THPCDEHW4
1/1/1/1/9	-25.08	2.36	-
1/1/1/1/10	-26.38	2.27	HW-BOB-0002
1/1/1/1/11	-26.38	2.27	HW-BOB-0002
1/1/1/1/12	-30.83	2.27	HPSF2120
1/1/1/1/13	-23.98	2.15	HW-BOB-0012
1/1/1/1/14	-32.21	2.01	SFU3424THPCDEHW4
1/1/1/1/15	-25.81	2.46	HPSF2120
1/1/1/1/16	-24.95	2.14	HW-BOB-0002
1/1/1/1/17	-28.86	1.93	HW-BOB-0012
1/1/1/1/18	-26.42	2.35	HPSF2120
1/1/1/1/19	-24.81	1.91	HW-BOB-0002
1/1/1/1/20	-26.57	2.44	RTXM167-407-C10
1/1/1/1/21	-23.56	1.93	HW-BOB-0012
1/1/1/1/22	-23.18	2.27	HW-BOB-0001
1/1/1/1/23	-22.84	2.07	RTXM167-407-C10
1/1/1/1/24	-24.43	2.28	HW-BOB-0012
1/1/1/1/25	-24.95	2.20	HW-BOB-0008
1/1/1/1/26	-24.89	2.27	HPSF2120
1/1/1/1/27	-23.98	2.30	HW-BOB-0012
1/1/1/1/28	-26.77	2.29	HW-BOB-0002
1/1/1/1/29	-23.87	2.13	HW-BOB-0002
1/1/1/1/30	-24.56	2.09	HW-BOB-0012
1/1/1/1/31	-26.38	2.56	-
1/1/1/1/32	-26.38	2.19	HW-BOB-0002
1/1/1/1/33	-23.87	2.25	-
1/1/1/1/34	-23.66	2.76	-
1/1/1/1/35	-25.68	2.84	-
1/1/1/1/36	-22.84	2.15	HW-BOB-0012
1/1/1/1/37	-24.31	1.83	HW-BOB-0002
1/1/1/1/64	-24.81	2.33	HW-BOB-0012
1/1/1/1/65	-23.46	2.75	-
1/1/1/2/0	-26.19	2.32	HW-BOB-0025
1/1/1/2/1	-25.37	2.12	HW-BOB-0002
1/1/1/2/2	-23.87	3.06	-
1/1/1/2/3	-25.68	3.06	-
1/1/1/2/4	-24.43	3.06	-
1/1/1/2/5	-26.77	3.06	-
1/1/1/2/6	-23.76	1.89	HW-BOB-0025
1/1/1/2/7	-25.68	2.25	HW-BOB-0025
1/1/1/2/8	-23.28	2.33	HW-BOB-0025
1/1/1/2/9	-33.00	2.16	RTXM167-407-C10
1/1/1/2/10	-27.96	3.06	-
1/1/1/2/11	-23.18	2.02	HW-BOB-0012
1/1/1/2/12	-23.18	2.16	LTB3468L-CCG+
1/1/1/2/13	-25.85	2.08	HW-BOB-0012
1/1/1/2/14	-25.08	2.16	HW-BOB-0002
1/1/1/2/15	-24.20	2.32	HW-BOB-0002
1/1/1/2/16	-24.09	2.00	HW-BOB-0002
1/1/1/2/17	-26.57	1.95	HW-BOB-0002
1/1/1/2/18	-23.98	2.26	HW-BOB-0025
1/1/1/2/19	-24.43	2.89	-
1/1/1/2/20	-26.19	1.90	HW-BOB-0002
1/1/1/2/21	-24.68	2.26	LTB3468L-CCG+
1/1/1/2/22	-25.23	2.26	HW-BOB-0012
1/1/1/2/23	-25.14	2.20	HW-BOB-0001
