ont_indx	ont_rx(dBm)	ont_tx(dBm)	vendor_pn
1/1/1/0/0	-27.69	2.28	HW-BOB-0012
1/1/1/0/1	-21.13	2.22	HW-BOB-0025
1/1/1/0/2	-23.10	2.59	-
1/1/1/0/3	-25.53	2.08	HW-BOB-0012
1/1/1/0/4	-23.66	2.30	HW-BOB-0002
1/1/1/0/5	-22.29	2.71	-
1/1/1/0/6	-24.81	1.91	HW-BOB-0012
1/1/1/0/7	-24.20	1.98	HW-BOB-0002
1/1/1/0/8	-29.21	2.19	HW-BOB-0012
1/1/1/0/9	-23.76	1.93	HW-BOB-0008
1/1/1/0/10	-24.20	2.34	HW-BOB-0012
1/1/1/0/11	-20.91	1.98	HW-BOB-0012
1/1/1/0/12	-21.94	2.09	HW-BOB-0025
1/1/1/0/13	-23.01	2.31	HW-BOB-0012
1/1/1/0/14	-24.20	1.96	HW-BOB-0012
1/1/1/0/15	-21.74	1.83	HW-BOB-0012
1/1/1/0/16	-24.95	2.10	HW-BOB-0012
1/1/1/0/17	-22.52	1.99	HW-BOB-0012
1/1/1/0/18	-22.07	2.05	-
1/1/1/0/19	-30.96	2.30	-
1/1/1/1/0	-21.30	2.30	SFU3424THPCDEHW4
1/1/1/1/1	-29.21	1.91	HW-BOB-0002
1/1/1/1/2	-27.96	2.17	HW-BOB-0012
1/1/1/1/3	-22.67	1.84	HW-BOB-0012
1/1/1/1/4	-33.00	2.27	HW-BOB-0002
1/1/1/1/5	-25.08	2.21	HW-BOB-0012
1/1/1/1/6	-23.18	2.25	HW-BOB-0025
1/1/1/1/7	-21.30	1.98	HW-BOB-0012
1/1/1/1/8	-23.28	1.98	HW-BOB-0002
1/1/1/1/9	-23.98	2.00	HW-BOB-0002
1/1/1/1/10	-25.53	2.13	HW-BOB-0012
1/1/1/1/11	-21.74	2.22	SFU3424THPCDEHW4
1/1/1/1/12	-26.57	2.08	HW-BOB-0012
1/1/1/1/13	-23.37	2.41	HW-BOB-0012
1/1/1/1/14	-23.66	2.03	-
1/1/1/1/15	-20.60	1.52	-
1/1/1/1/16	-20.27	2.14	HW-BOB-0012
1/1/1/1/17	-25.37	2.25	HW-BOB-0025
1/1/1/1/18	-24.68	2.16	HW-BOB-0025
1/1/1/1/19	-23.98	2.02	HW-BOB-0025
1/1/1/1/20	-20.45	2.62	-
1/1/1/1/21	-27.21	3.10	-
1/1/1/1/22	-23.76	2.97	-
1/1/1/1/23	-23.87	2.38	-
1/1/1/2/0	-22.92	2.10	HW-BOB-0008
1/1/1/2/1	-25.68	2.18	HW-BOB-0025
1/1/1/2/2	-24.31	2.33	HW-BOB-0008
1/1/1/2/3	-22.00	1.97	HW-BOB-0002
1/1/1/2/4	-30.45	2.27	HW-BOB-0002
1/1/1/2/5	-22.44	2.27	LTB3468L-CCG+
1/1/1/2/6	-22.52	2.17	HW-BOB-0025
1/1/1/2/7	-23.01	2.16	HW-BOB-0012
1/1/1/2/8	-23.10	2.10	HW-BOB-0012
1/1/1/2/9	-25.08	2.24	HW-BOB-0012
1/1/1/2/10	-23.18	2.34	HW-BOB-0025
1/1/1/2/11	-22.92	2.35	HW-BOB-0025
1/1/1/2/12	-22.84	2.58	-
1/1/1/2/13	-23.66	2.28	HW-BOB-0012
1/1/1/2/14	-23.76	2.65	-
1/1/1/2/15	-29.20	2.95	-
1/1/1/2/16	-23.10	3.30	-
1/1/1/2/17	-22.36	2.28	HW-BOB-0012
1/1/1/3/0	-24.95	2.20	HW-BOB-0002
1/1/1/3/1	-23.10	2.28	HW-BOB-0025
1/1/1/3/2	-27.69	2.34	HW-BOB-0007
1/1/1/3/3	-24.95	2.43	HW-BOB-0012
1/1/1/3/4	-25.85	1.81	HW-BOB-0012
1/1/1/3/5	-25.23	2.19	HW-BOB-0025
1/1/1/3/6	-24.56	2.22	HW-BOB-0012
1/1/1/3/7	-21.80	1.97	HW-BOB-0012
1/1/1/3/8	-22.92	2.32	HW-BOB-0012
1/1/1/3/9	-26.10	2.25	HW-BOB-0001
1/1/1/3/10	-25.68	2.01	HW-BOB-0008
1/1/1/3/11	-24.20	1.89	HW-BOB-0012
1/1/1/3/12	-24.68	1.90	HW-BOB-0012
1/1/1/3/13	-23.46	2.12	HW-BOB-0012
1/1/1/3/14	-21.94	1.90	HW-BOB-0012
1/1/1/3/15	-25.85	2.35	HW-BOB-0025
1/1/1/3/16	-25.23	2.36	HW-BOB-0012
1/1/1/3/17	-23.28	2.32	-
1/1/1/3/18	-26.02	2.48	HW-BOB-0012
1/1/1/3/19	-24.95	2.27	HW-BOB-0025
1/1/1/3/20	-24.43	3.15	-
1/1/1/3/21	-26.99	2.14	HW-BOB-0025
1/1/1/3/22	-24.20	2.35	HW-BOB-0007
1/1/1/4/0	-21.08	2.50	-
1/1/1/4/1	-23.28	2.25	HW-BOB-0012
1/1/1/4/2	-27.44	1.89	HW-BOB-0012
1/1/1/4/3	-22.59	2.20	HW-BOB-0012
1/1/1/4/4	-22.44	2.34	HW-BOB-0012
1/1/1/4/5	-22.22	2.23	HW-BOB-0025
1/1/1/4/6	-23.37	2.21	HW-BOB-0008
1/1/1/4/7	-24.20	2.26	HW-BOB-0012
1/1/1/4/8	-23.66	1.86	HW-BOB-0008
1/1/1/4/9	-22.22	2.26	HW-BOB-0012
1/1/1/4/10	-24.09	2.44	HW-BOB-0002
1/1/1/4/11	-23.46	1.97	HW-BOB-0007
1/1/1/4/12	-22.00	2.31	HW-BOB-0025
1/1/1/4/13	-22.29	2.37	HW-BOB-0008
1/1/1/4/14	-25.23	2.34	-
