ont_indx	ont_rx(dBm)	ont_tx(dBm)	vendor_pn
1/1/1/0/0	-27.69	2.08	HW-BOB-0012
1/1/1/0/2	-21.13	2.20	HW-BOB-0025
1/1/1/0/3	-22.92	2.45	-
1/1/1/0/4	-25.53	2.23	HW-BOB-0012
1/1/1/0/6	-23.56	2.16	HW-BOB-0002
1/1/1/0/7	-22.29	2.72	-
1/1/1/0/8	-24.95	2.01	HW-BOB-0012
1/1/1/0/9	-24.43	2.39	HW-BOB-0002
1/1/1/0/12	-29.21	2.05	HW-BOB-0012
1/1/1/0/22	-23.76	2.02	HW-BOB-0008
1/1/1/0/24	-21.02	2.45	HW-BOB-0012
1/1/1/0/30	-21.87	2.05	HW-BOB-0025
1/1/1/0/31	-23.01	2.08	HW-BOB-0012
1/1/1/0/33	-24.20	2.37	HW-BOB-0012
1/1/1/0/34	-22.00	2.29	HW-BOB-0012
1/1/1/0/35	-24.95	2.18	HW-BOB-0012
1/1/1/0/37	-22.59	2.05	HW-BOB-0012
1/1/1/0/39	-22.07	2.47	-
1/1/1/0/41	-29.20	1.90	-
1/1/1/0/44	-22.44	2.38	-
1/1/1/1/3	-24.68	2.63	-
1/1/1/1/5	-28.86	2.32	HW-BOB-0002
1/1/1/1/6	-30.00	2.16	HW-BOB-0012
1/1/1/1/14	-22.67	1.96	HW-BOB-0012
1/1/1/1/15	-33.97	2.19	HW-BOB-0002
1/1/1/1/19	-24.95	2.23	HW-BOB-0012
1/1/1/1/20	-23.01	2.33	HW-BOB-0025
1/1/1/1/21	-21.42	1.81	HW-BOB-0012
1/1/1/1/25	-23.66	1.92	HW-BOB-0002
1/1/1/1/26	-25.37	2.16	HW-BOB-0012
1/1/1/1/29	-21.61	2.14	SFU3424THPCDEHW4
1/1/1/1/30	-26.77	2.25	HW-BOB-0012
1/1/1/1/31	-23.37	2.08	HW-BOB-0012
1/1/1/1/34	-23.66	2.48	-
1/1/1/1/35	-20.60	1.93	-
1/1/1/1/36	-20.27	1.86	HW-BOB-0012
1/1/1/1/37	-25.23	2.23	HW-BOB-0025
1/1/1/1/39	-24.56	2.21	HW-BOB-0025
1/1/1/1/40	-23.76	2.09	HW-BOB-0025
1/1/1/1/41	-20.45	2.65	-
1/1/1/1/42	-26.99	3.10	-
1/1/1/1/43	-23.37	3.23	-
1/1/1/1/45	-23.56	2.71	-
1/1/1/2/5	-22.92	2.26	HW-BOB-0008
1/1/1/2/7	-25.85	2.19	HW-BOB-0025
1/1/1/2/8	-24.43	2.24	HW-BOB-0008
1/1/1/2/10	-21.94	1.99	HW-BOB-0002
1/1/1/2/11	-29.58	2.22	HW-BOB-0002
1/1/1/2/15	-25.08	2.25	HW-BOB-0025
1/1/1/2/24	-22.52	2.16	HW-BOB-0025
1/1/1/2/25	-23.01	2.02	HW-BOB-0012
1/1/1/2/29	-23.10	2.16	HW-BOB-0012
1/1/1/2/33	-25.37	2.23	HW-BOB-0012
1/1/1/2/36	-23.18	2.19	HW-BOB-0025
1/1/1/2/37	-22.92	2.16	HW-BOB-0025
1/1/1/2/38	-22.92	2.58	-
1/1/1/2/39	-23.66	2.35	HW-BOB-0012
1/1/1/2/42	-23.87	2.69	-
1/1/1/2/43	-29.20	2.93	-
1/1/1/2/44	-23.18	3.29	-
1/1/1/2/46	-22.44	2.09	HW-BOB-0012
1/1/1/3/1	-24.68	2.14	HW-BOB-0002
1/1/1/3/6	-23.10	2.30	HW-BOB-0025
1/1/1/3/7	-27.96	2.08	HW-BOB-0012
1/1/1/3/9	-24.95	1.88	HW-BOB-0012
1/1/1/3/11	-26.02	2.09	HW-BOB-0012
1/1/1/3/15	-25.53	2.17	HW-BOB-0025
1/1/1/3/18	-24.56	1.90	HW-BOB-0012
1/1/1/3/22	-21.87	2.25	HW-BOB-0012
1/1/1/3/24	-22.75	2.21	HW-BOB-0012
1/1/1/3/27	-26.59	2.19	HW-BOB-0001
1/1/1/3/31	-24.20	2.20	HW-BOB-0012
1/1/1/3/32	-24.20	1.93	HW-BOB-0012
1/1/1/3/33	-23.37	2.15	HW-BOB-0012
1/1/1/3/37	-22.00	1.82	HW-BOB-0012
1/1/1/3/38	-25.85	2.34	HW-BOB-0025
1/1/1/3/41	-23.28	2.32	-
1/1/1/3/43	-24.81	2.24	HW-BOB-0025
1/1/1/3/46	-26.57	2.08	HW-BOB-0025
1/1/1/3/49	-23.98	2.19	HW-BOB-0007
1/1/1/4/8	-21.08	2.50	-
1/1/1/4/13	-27.44	2.07	HW-BOB-0012
1/1/1/4/19	-22.67	2.36	HW-BOB-0012
1/1/1/4/22	-22.22	2.18	HW-BOB-0025
1/1/1/4/28	-23.37	2.20	HW-BOB-0008
1/1/1/4/29	-24.31	2.12	HW-BOB-0012
1/1/1/4/30	-23.66	1.98	HW-BOB-0008
1/1/1/4/31	-22.22	2.31	HW-BOB-0012
1/1/1/4/32	-23.98	1.99	HW-BOB-0002
1/1/1/4/36	-23.56	1.87	HW-BOB-0007
1/1/1/4/39	-22.00	2.29	HW-BOB-0025
1/1/1/4/40	-22.29	2.26	HW-BOB-0008
1/1/1/5/4	-20.91	2.37	HW-BOB-0012
1/1/1/5/6	-23.28	1.88	HW-BOB-0001
1/1/1/5/7	-22.67	2.22	HW-BOB-0002
1/1/1/5/8	-21.25	2.22	HW-BOB-0012
1/1/1/5/9	-28.86	2.21	HW-BOB-0012
1/1/1/5/12	-21.55	2.29	HW-BOB-0012
1/1/1/5/16	-21.42	2.44	HW-BOB-0012
1/1/1/5/17	-22.52	2.31	HW-BOB-0002
1/1/1/5/19	-21.13	1.95	HW-BOB-0012
1/1/1/5/25	-27.44	1.93	HW-BOB-0008
1/1/1/5/29	-26.19	2.16	HW-BOB-0012
1/1/1/5/30	-22.14	2.10	HW-BOB-0012
1/1/1/5/32	-22.14	2.28	-
1/1/1/5/34	-22.52	2.87	-
1/1/1/6/6	-22.84	2.13	HW-BOB-0002
1/1/1/6/9	-26.77	2.35	HW-BOB-0012
1/1/1/6/12	-22.67	1.99	HW-BOB-0008
1/1/1/6/15	-28.24	2.34	HW-BOB-0012
1/1/1/6/21	-23.56	2.27	HW-BOB-0012
1/1/1/6/28	-23.56	2.31	HW-BOB-0012
1/1/1/6/30	-22.75	2.34	-
1/1/1/6/32	-22.92	2.04	-
1/1/1/6/35	-24.56	2.31	HW-BOB-0002
1/1/1/6/40	-24.81	2.12	HW-BOB-0012
1/1/1/6/41	-22.67	2.33	HW-BOB-0025
1/1/1/7/7	-22.52	2.17	-
1/1/1/7/10	-22.29	2.04	HW-BOB-0002
1/1/1/7/13	-25.68	2.47	HW-BOB-0002
1/1/1/7/16	-25.08	2.59	-
1/1/1/7/18	-23.56	2.13	HW-BOB-0002
1/1/1/7/22	-23.66	2.24	HW-BOB-0002
1/1/1/7/24	-26.02	1.94	HW-BOB-0002
1/1/1/7/26	-22.44	2.46	HW-BOB-0002
1/1/1/7/27	-23.10	1.91	HW-BOB-0002
1/1/1/7/31	-24.81	2.08	HW-BOB-0012
1/1/1/7/34	-22.59	2.13	RTXM167-407-C10
1/1/1/7/36	-23.87	2.29	HW-BOB-0012
1/1/1/7/38	-23.87	2.37	HW-BOB-0012
1/1/1/7/39	-22.36	2.26	HW-BOB-0012
1/1/1/7/40	-23.56	1.97	HW-BOB-0025
1/1/1/7/44	-21.48	3.05	-
1/1/1/7/45	-22.00	2.78	-
1/1/1/7/46	-21.42	2.16	HW-BOB-0025
1/1/1/7/47	-23.46	2.13	HW-BOB-0012
