ont_indx	ont_rx(dBm)	ont_tx(dBm)	vendor_pn
1/1/1/0/0	-20.70	2.68	-
1/1/1/0/1	-19.79	2.16	HW-BOB-0025
1/1/1/0/2	-19.50	2.16	HW-BOB-0025
1/1/1/0/3	-20.36	2.10	HW-BOB-0025
1/1/1/0/4	-20.97	2.22	HW-BOB-0025
1/1/1/0/5	-19.62	2.24	HW-BOB-0025
1/1/1/0/6	-19.58	2.39	HW-BOB-0025
1/1/1/0/7	-19.83	1.97	HW-BOB-0025
1/1/1/0/8	-19.50	2.09	HW-BOB-0025
1/1/1/0/9	-20.65	2.49	-
1/1/1/0/10	-18.96	2.38	-
1/1/1/0/11	-23.10	2.66	-
1/1/1/0/12	-21.08	2.87	-
1/1/1/0/13	-20.65	2.65	-
1/1/1/0/14	-23.10	2.42	-
1/1/1/0/15	-19.43	2.47	-
1/1/1/0/16	-19.91	2.47	-
1/1/1/0/17	-23.66	2.28	HW-BOB-0025
1/1/1/1/0	-19.66	2.03	HW-BOB-0025
1/1/1/1/1	-19.95	2.24	HW-BOB-0025
1/1/1/1/2	-22.44	2.44	HW-BOB-0025
1/1/1/1/3	-26.99	2.29	HW-BOB-0025
1/1/1/1/4	-22.44	2.18	HW-BOB-0025
1/1/1/1/5	-20.70	2.35	HW-BOB-0025
1/1/1/1/6	-20.13	2.07	HW-BOB-0025
1/1/1/1/7	-21.13	2.47	-
1/1/1/1/8	-21.13	2.53	-
1/1/1/1/9	-21.30	2.17	HW-BOB-0025
1/1/1/1/10	-20.31	2.66	-
1/1/1/1/11	-23.01	2.45	-
1/1/1/1/12	-21.02	2.82	-
1/1/1/1/13	-21.19	2.32	-
1/1/1/1/14	-22.22	2.63	-
1/1/1/1/15	-21.08	2.71	-
1/1/1/1/16	-22.59	2.28	HW-BOB-0025
1/1/1/1/17	-19.20	2.51	-
1/1/1/1/18	-21.36	2.68	-
1/1/1/2/0	-20.81	1.98	HW-BOB-0025
1/1/1/2/1	-22.67	2.33	HW-BOB-0025
1/1/1/2/2	-22.14	2.33	HW-BOB-0025
1/1/1/2/3	-23.10	2.08	HW-BOB-0025
1/1/1/2/4	-21.61	1.96	HW-BOB-0025
1/1/1/2/5	-21.61	2.61	-
1/1/1/2/6	-22.00	2.25	HW-BOB-0025
1/1/1/3/0	-20.75	2.31	HW-BOB-0025
1/1/1/3/1	-19.70	2.13	HW-BOB-0025
1/1/1/3/2	-18.99	2.11	HW-BOB-0025
1/1/1/3/3	-22.36	2.02	HW-BOB-0025
1/1/1/3/4	-20.41	2.11	HW-BOB-0025
1/1/1/3/5	-21.61	2.03	HW-BOB-0025
1/1/1/3/6	-20.04	2.27	HW-BOB-0025
1/1/1/3/7	-21.13	1.88	HW-BOB-0025
1/1/1/3/8	-22.29	2.11	HW-BOB-0025
1/1/1/3/9	-33.97	2.22	HW-BOB-0025
1/1/1/3/10	-21.13	2.31	HW-BOB-0025
1/1/1/3/11	-23.66	2.26	HW-BOB-0025
1/1/1/3/12	-22.00	2.23	HW-BOB-0025
1/1/1/3/13	-22.75	2.29	HW-BOB-0025
1/1/1/3/14	-23.66	2.36	HW-BOB-0025
1/1/1/3/15	-20.70	2.02	HW-BOB-0025
1/1/1/3/16	-20.13	2.01	HW-BOB-0025
1/1/1/4/0	-21.80	2.04	HW-BOB-0025
1/1/1/4/1	-21.61	2.35	HW-BOB-0025
1/1/1/4/2	-19.32	2.42	HW-BOB-0025
1/1/1/4/3	-18.89	2.18	HW-BOB-0025
1/1/1/4/4	-23.10	2.10	HW-BOB-0025
1/1/1/4/5	-21.48	2.11	HW-BOB-0025
1/1/1/4/6	-22.00	2.33	HW-BOB-0025
1/1/1/4/7	-19.20	2.09	HW-BOB-0025
1/1/1/4/8	-22.22	2.22	HW-BOB-0025
1/1/1/4/9	-18.41	2.24	HW-BOB-0025
1/1/1/4/10	-20.50	2.22	HW-BOB-0025
1/1/1/4/11	-21.61	2.22	HW-BOB-0025
1/1/1/4/12	-20.65	2.29	HW-BOB-0025
1/1/1/4/13	-20.00	2.34	HW-BOB-0025
1/1/1/4/14	-20.60	2.23	HW-BOB-0025
1/1/1/4/15	-20.04	1.93	HW-BOB-0025
1/1/1/4/16	-18.82	2.26	HW-BOB-0025
1/1/1/4/17	-23.18	2.70	-
1/1/1/4/18	-18.44	2.53	-
1/1/1/4/19	-21.74	2.34	-
1/1/1/4/20	-19.91	2.02	HW-BOB-0025
1/1/1/4/21	-22.67	2.51	-
